"id_comuna","id_region","comuna","despacho","webpay","_tx"
234,14,FUTRONO,1,0,1
235,14,PANGUIPULLI,1,0,1
236,14,LA UNIÓN,1,0,1
237,14,PAILLACO,1,0,1
238,14,RÍO BUENO,1,0,1
239,14,LAGO RANCO,1,0,1
240,10,OSORNO,1,0,1
241,10,SAN PABLO,1,0,1
242,10,SAN JUAN DE LA COSTA,1,0,1
243,10,PUYEHUE,1,0,1
244,10,PUERTO OCTAY,1,0,1
245,10,PURRANQUE,1,0,1
246,10,RÍO NEGRO,1,0,1
247,10,PUERTO VARAS,1,0,1
248,10,LOS MUERMOS,1,0,1
249,10,FRESIA,1,0,1
250,10,LLANQUIHUE,1,0,1
251,10,FRUTILLAR,1,0,1
252,10,PUERTO MONTT,1,0,1
253,10,COCHAMÓ,1,0,1
254,10,CALBUCO,1,0,1
255,10,MAULLÍN,1,0,1
256,10,CASTRO,1,0,1
257,10,ANCUD,1,0,1
258,10,QUEMCHI,1,0,1
259,10,DALCAHUE,1,0,1
260,10,CURACO DE VÉLEZ,1,0,1
261,10,QUINCHAO,1,0,1
262,10,PUQUELDÓN,1,0,1
263,10,CHONCHI,1,0,1
264,10,QUEILÉN,1,0,1
265,10,QUELLÓN,1,0,1
266,10,CHAITÉN,1,0,1
267,10,HUALAIHUÉ,1,0,1
268,10,FUTALEUFÚ,1,0,1
269,10,PALENA,1,0,1
270,11,COYHAIQUE,1,0,1
271,11,LAGO VERDE,1,0,1
272,11,AISÉN,1,0,1
273,11,CISNES,1,0,1
274,11,GUAITECAS,1,0,1
275,11,CHILE CHICO,1,0,1
276,11,RÍO IBÁÑEZ,1,0,1
277,11,COCHRANE,1,0,1
278,11,O'HIGGINS,1,0,1
279,11,TORTEL,1,0,1
280,12,NATALES,1,0,1
281,12,TORRES DEL PAINE,1,0,1
282,12,PUNTA ARENAS,1,0,1
283,12,RÍO VERDE,1,0,1
284,12,LAGUNA BLANCA,1,0,1
285,12,SAN GREGORIO,1,0,1
286,12,PORVENIR,1,0,1
287,12,PRIMAVERA,1,0,1
288,12,TIMAUKEL,1,0,1
