"id_ciudad","id_region","ciudad","origen","destino","_tx"
1085,14,MAFIL,0,1,1
1086,14,CORRAL,0,1,1
1088,6,COCHAMO,0,1,1
1089,9,TOLTEN,1,1,1
1090,9,LUMACO,0,1,1
1092,9,CONARIPE,1,1,1
1093,9,LICANRAY,1,1,1
1096,1,COLCHANE,0,1,1
1100,1,LA TIRANA,0,1,1
1108,2,BAQUEDANO,0,1,1
1130,2,TOCONAO,0,1,1
1132,3,DOMEYKO,0,1,1
1143,4,ALGARROBITO,0,1,1
1145,4,CAMARICO,0,1,1
1147,4,PISCO ELQUI,0,1,1
1152,4,LAS TACAS,0,1,1
1154,4,MORRILLOS,0,1,1
1155,4,PAIHUANO,0,1,1
1156,4,RIO HURTADO,0,1,1
1157,4,SAN MARCOS,0,1,1
1158,4,TIERRAS BLANCAS,0,1,1
1162,6,BUCALEMU,0,1,1
1164,5,LA DORMIDA,0,1,1
1165,5,LOS MOLLES,0,1,1
1168,4,PICHIDANGUI,0,1,1
1170,5,PETORCA,1,1,1
1171,5,QUINTAY,0,1,1
1173,4,TOTORALILLO,0,1,1
1174,5,LAS VENTANAS,0,1,1
1175,6,CALETONES,0,1,1
1177,6,LA ESTRELLA,0,1,1
1178,6,LITUECHE,1,1,1
1179,6,LOLOL,0,1,1
1180,6,NAVIDAD,0,1,1
1181,6,COYA,0,1,1
1184,6,PAREDONES,0,1,1
1187,5,PLACILLA (VINA DEL MAR),0,1,1
1188,6,PUMANQUE,0,1,1
1190,6,RAPEL,0,1,1
1193,7,CHANCO,0,1,1
1194,7,CURANIPE,0,1,1
1195,7,EMPEDRADO,0,1,1
1197,7,ILOCA,0,1,1
1198,7,LONGAVI,1,1,1
1199,7,LONTUE,0,1,1
1200,7,PELLUHUE,0,1,1
1201,7,CUMPEO,0,1,1
1202,7,PANIMAVIDA,0,1,1
1204,7,DUAO,0,1,1
1205,8,ANTUCO,0,1,1
1207,8,COLCURA,0,1,1
1208,16,COBQUECURA,0,1,1
1210,8,CONTULMO,1,1,1
1211,8,DICHATO,0,1,1
1212,8,RANGUELMO,0,1,1
1213,8,HUALQUI,0,1,1
1215,8,HUEPIL,0,1,1
1217,8,LARAQUETE,0,1,1
1218,8,MONTE AGUILA,0,1,1
1219,8,SANTA CLARA,0,1,1
1220,8,MININCO,0,1,1
1222,16,NINHUE,0,1,1
1224,16,PORTEZUELO,0,1,1
1225,8,QUILACO,0,1,1
1226,16,RANQUIL,0,1,1
1230,8,TUCAPEL,0,1,1
1235,8,HUALPEN,0,1,1
1237,9,CAPITAN PASTENE,0,1,1
1239,9,LABRANZA,1,1,1
1241,9,MELIPEUCO,0,1,1
1245,9,QUEPE,0,1,1
1247,9,HUALPIN,0,1,1
1248,9,PILLANLELBUN,0,1,1
1250,10,ALERCE,0,1,1
1252,10,NUEVA BRAUNAU,0,1,1
1253,10,CHACAO,0,1,1
1254,10,CHOSHUENCO,0,1,1
1258,10,CARELMAPU,0,1,1
